epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3842,2.30444,1.68379,1.63722,0.14894,0.47894,0.11029,0.04084,2.34839,10.4068,1.84472,0.000663194,0.000663194,0.000663194
2,74.4058,2.2127,1.55944,1.57556,0.46701,0.44562,0.41412,0.16328,2.20744,1.54889,1.73712,0.00130353,0.00130353,0.00130353
3,110.157,2.21782,1.58476,1.58358,0.46768,0.44782,0.40001,0.1483,2.21269,1.80031,1.69209,0.00191747,0.00191747,0.00191747
4,146.002,2.17737,1.57888,1.55353,0.5305,0.43134,0.43805,0.17899,2.1378,1.56037,1.64486,0.0018812,0.0018812,0.0018812
5,181.747,2.14161,1.51011,1.53956,0.46858,0.41244,0.39424,0.15686,2.18096,1.59409,1.69281,0.0018416,0.0018416,0.0018416
6,217.285,2.13583,1.46412,1.53152,0.55244,0.50165,0.50371,0.19459,2.11119,1.51595,1.6489,0.001802,0.001802,0.001802
7,252.943,2.11254,1.44903,1.51551,0.5678,0.51852,0.52635,0.20999,2.13208,1.39834,1.65873,0.0017624,0.0017624,0.0017624
8,288.761,2.10994,1.43526,1.50113,0.51389,0.50895,0.49732,0.19999,2.10387,1.46266,1.65298,0.0017228,0.0017228,0.0017228
9,324.261,2.11006,1.42835,1.51238,0.5711,0.52932,0.53453,0.20878,2.15121,1.40827,1.69035,0.0016832,0.0016832,0.0016832
10,360.475,2.07386,1.39301,1.49218,0.53973,0.5351,0.52881,0.21588,2.05689,1.37365,1.62236,0.0016436,0.0016436,0.0016436
11,398.915,2.09045,1.40025,1.51948,0.56223,0.52561,0.53049,0.22043,2.06862,1.36097,1.63627,0.001604,0.001604,0.001604
12,436.775,2.06665,1.38004,1.48913,0.53059,0.51569,0.50301,0.20008,2.07931,1.39814,1.64773,0.0015644,0.0015644,0.0015644
13,472.468,2.05126,1.35367,1.47837,0.55675,0.54157,0.5356,0.21456,2.14009,1.3602,1.67878,0.0015248,0.0015248,0.0015248
14,508.112,2.04664,1.34443,1.47361,0.50958,0.52395,0.50447,0.20297,2.12476,1.38892,1.66247,0.0014852,0.0014852,0.0014852
15,544.101,2.04963,1.34035,1.473,0.57799,0.49298,0.5151,0.21197,2.08847,1.32525,1.63485,0.0014456,0.0014456,0.0014456
16,579.248,2.02309,1.3495,1.4961,0.57316,0.54694,0.54835,0.22235,2.09278,1.34633,1.66182,0.001406,0.001406,0.001406
17,614.634,2.03522,1.32058,1.46987,0.57875,0.55228,0.5501,0.22581,2.07801,1.34113,1.6571,0.0013664,0.0013664,0.0013664
18,650.139,2.00504,1.27665,1.45421,0.56054,0.54887,0.53106,0.21345,2.07148,1.37482,1.63857,0.0013268,0.0013268,0.0013268
19,685.259,2.02165,1.27453,1.4525,0.58028,0.52629,0.53793,0.21776,2.06675,1.3254,1.63796,0.0012872,0.0012872,0.0012872
20,720.507,2.0045,1.28324,1.45799,0.58324,0.56737,0.57076,0.23431,2.07069,1.30288,1.63659,0.0012476,0.0012476,0.0012476
21,755.759,1.99561,1.25602,1.44114,0.60172,0.55465,0.57206,0.2364,2.08072,1.24321,1.65096,0.001208,0.001208,0.001208
22,791.451,1.98042,1.24495,1.43389,0.56526,0.55245,0.54363,0.22224,2.07322,1.346,1.65349,0.0011684,0.0011684,0.0011684
23,828.342,1.97198,1.23585,1.43538,0.60751,0.57241,0.5793,0.2382,2.06387,1.27426,1.63545,0.0011288,0.0011288,0.0011288
24,865.251,1.992,1.2445,1.43573,0.54992,0.57448,0.55312,0.2269,2.08692,1.31385,1.6499,0.0010892,0.0010892,0.0010892
25,900.692,1.96022,1.20885,1.43387,0.59006,0.5413,0.55616,0.22997,2.05683,1.26378,1.63262,0.0010496,0.0010496,0.0010496
26,936.371,1.96635,1.21282,1.43643,0.60251,0.52293,0.55466,0.23091,2.07751,1.26636,1.65004,0.00101,0.00101,0.00101
27,971.825,1.94946,1.20816,1.43197,0.5986,0.5647,0.58007,0.23758,2.07717,1.24086,1.63967,0.0009704,0.0009704,0.0009704
28,1007.79,1.94182,1.19428,1.41222,0.52144,0.5307,0.51985,0.21373,2.08444,1.29729,1.65386,0.0009308,0.0009308,0.0009308
29,1044.22,1.94372,1.17888,1.42604,0.5709,0.54336,0.54406,0.22674,2.08196,1.30628,1.65267,0.0008912,0.0008912,0.0008912
30,1079.89,1.94614,1.18875,1.42539,0.60176,0.56914,0.58166,0.23978,2.05426,1.26783,1.63434,0.0008516,0.0008516,0.0008516
31,1115.83,1.93413,1.18169,1.42023,0.5882,0.58384,0.57918,0.24173,2.06742,1.22622,1.64798,0.000812,0.000812,0.000812
32,1151.72,1.92936,1.15009,1.41204,0.59862,0.57654,0.57819,0.23866,2.08959,1.24398,1.65766,0.0007724,0.0007724,0.0007724
33,1187.5,1.9267,1.1486,1.40857,0.59473,0.55699,0.56256,0.2349,2.06448,1.23672,1.64646,0.0007328,0.0007328,0.0007328
34,1223.43,1.90701,1.12947,1.40693,0.61027,0.52016,0.5549,0.23085,2.06197,1.25205,1.64521,0.0006932,0.0006932,0.0006932
35,1259.83,1.90748,1.1456,1.39336,0.60973,0.56691,0.58146,0.23843,2.08627,1.20322,1.65668,0.0006536,0.0006536,0.0006536
36,1296.51,1.89814,1.12243,1.39227,0.58823,0.58664,0.58103,0.24317,2.07236,1.22425,1.65055,0.000614,0.000614,0.000614
37,1333.62,1.88128,1.1128,1.38365,0.5838,0.57021,0.57297,0.23676,2.07756,1.25077,1.65139,0.0005744,0.0005744,0.0005744
38,1369.76,1.87588,1.09097,1.38824,0.60457,0.57438,0.57997,0.23896,2.08856,1.21738,1.66618,0.0005348,0.0005348,0.0005348
39,1405.98,1.88273,1.08884,1.39559,0.59435,0.57406,0.57517,0.23768,2.09837,1.21263,1.67488,0.0004952,0.0004952,0.0004952
40,1442.77,1.85773,1.07616,1.37219,0.56116,0.58092,0.55675,0.22653,2.14238,1.25908,1.71294,0.0004556,0.0004556,0.0004556
41,1484.24,1.88615,1.09254,1.45364,0.58898,0.58769,0.57689,0.23796,2.09067,1.21232,1.66963,0.000416,0.000416,0.000416
42,1519.57,1.87359,1.06623,1.45544,0.58804,0.58756,0.57078,0.23768,2.08837,1.22519,1.65951,0.0003764,0.0003764,0.0003764
43,1555.4,1.85821,1.04883,1.44142,0.59689,0.58756,0.58669,0.24447,2.08178,1.2072,1.66726,0.0003368,0.0003368,0.0003368
44,1591.21,1.8499,1.0367,1.44211,0.59644,0.57654,0.57539,0.23903,2.08784,1.21831,1.6667,0.0002972,0.0002972,0.0002972
45,1633.46,1.83403,1.01244,1.42189,0.6056,0.58494,0.59075,0.24758,2.07904,1.1998,1.66293,0.0002576,0.0002576,0.0002576
46,1674.32,1.8238,1.01153,1.41954,0.60375,0.58711,0.58851,0.24604,2.09319,1.20344,1.68094,0.000218,0.000218,0.000218
47,1715.83,1.81426,1.00152,1.41594,0.58882,0.59347,0.57786,0.24018,2.09649,1.2043,1.67612,0.0001784,0.0001784,0.0001784
48,1759.62,1.80446,0.98302,1.40819,0.60749,0.59513,0.59511,0.2467,2.09521,1.18476,1.67748,0.0001388,0.0001388,0.0001388
49,1805.38,1.8021,0.97758,1.4085,0.59476,0.60683,0.59424,0.24711,2.0938,1.18838,1.67624,9.92e-05,9.92e-05,9.92e-05
50,1851.77,1.77997,0.96467,1.38197,0.59322,0.59746,0.58931,0.24526,2.09828,1.18467,1.68266,5.96e-05,5.96e-05,5.96e-05
