epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0427,2.324,1.81642,1.54663,0.46542,0.47825,0.43502,0.16307,2.17067,1.91042,1.55056,0.000659722,0.000659722,0.000659722
2,41.3664,2.17119,1.5022,1.44314,0.40422,0.43557,0.35444,0.12849,2.2408,1.91339,1.60906,0.00130013,0.00130013,0.00130013
3,60.8845,2.17064,1.50653,1.44735,0.51182,0.46316,0.46008,0.17877,2.11697,1.53493,1.53557,0.00191413,0.00191413,0.00191413
4,80.9522,2.14649,1.48911,1.43367,0.46795,0.44452,0.41105,0.15703,2.17022,1.63762,1.56753,0.0018812,0.0018812,0.0018812
5,100.118,2.1053,1.46086,1.4387,0.5224,0.50785,0.48928,0.18946,2.10893,1.52804,1.53688,0.0018416,0.0018416,0.0018416
6,118.872,2.10271,1.4047,1.41091,0.56053,0.50881,0.51114,0.19916,2.06867,1.41656,1.49875,0.001802,0.001802,0.001802
7,137.684,2.08833,1.41837,1.41608,0.49487,0.49587,0.4698,0.17447,2.1404,1.60613,1.55308,0.0017624,0.0017624,0.0017624
8,156.264,2.09144,1.39305,1.3995,0.53535,0.5391,0.51664,0.20127,2.10552,1.52578,1.53617,0.0017228,0.0017228,0.0017228
9,174.782,2.07416,1.3784,1.3924,0.53058,0.53951,0.51461,0.21035,2.06369,1.43096,1.51777,0.0016832,0.0016832,0.0016832
10,193.485,2.05931,1.37414,1.37855,0.51935,0.56222,0.49787,0.19836,2.04605,1.35451,1.48417,0.0016436,0.0016436,0.0016436
11,212.074,2.0461,1.348,1.39352,0.52262,0.5307,0.50121,0.19422,2.06418,1.414,1.50688,0.001604,0.001604,0.001604
12,231.192,2.04958,1.33922,1.38082,0.55416,0.52327,0.51885,0.20723,2.06485,1.37652,1.49658,0.0015644,0.0015644,0.0015644
13,251.53,2.01279,1.32771,1.38273,0.57376,0.55452,0.55134,0.22083,2.05905,1.3712,1.50881,0.0015248,0.0015248,0.0015248
14,271.799,2.02185,1.30198,1.36565,0.54783,0.53428,0.52531,0.20201,2.12338,1.39352,1.53315,0.0014852,0.0014852,0.0014852
