epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6264,2.30444,1.68379,1.63722,0.14894,0.47894,0.11029,0.04084,2.34839,10.4068,1.84472,0.000663194,0.000663194,0.000663194
2,73.0918,2.21146,1.56021,1.57865,0.26812,0.42759,0.1883,0.07047,2.26183,3.82689,1.78618,0.0013167,0.0013167,0.0013167
3,109.083,2.21917,1.58678,1.5988,0.50777,0.48142,0.44562,0.16931,2.19755,1.71209,1.73614,0.001957,0.001957,0.001957
4,144.376,2.17434,1.56514,1.56406,0.48828,0.4682,0.46212,0.18542,2.14389,1.56997,1.66631,0.0019406,0.0019406,0.0019406
5,179.782,2.14466,1.50257,1.54804,0.43427,0.40556,0.36978,0.14337,2.17,1.67019,1.72575,0.0019208,0.0019208,0.0019208
6,215.145,2.15015,1.49711,1.54498,0.53023,0.48912,0.4821,0.18742,2.10521,1.51038,1.65697,0.001901,0.001901,0.001901
7,250.482,2.12654,1.45311,1.52562,0.5304,0.49633,0.48832,0.19169,2.1228,1.54045,1.66098,0.0018812,0.0018812,0.0018812
8,286.176,2.11914,1.44152,1.51453,0.54158,0.49821,0.498,0.1964,2.14687,1.43536,1.68409,0.0018614,0.0018614,0.0018614
9,322.018,2.10481,1.43068,1.51874,0.53375,0.51501,0.50317,0.19633,2.13879,1.46081,1.68695,0.0018416,0.0018416,0.0018416
10,357.429,2.06904,1.39321,1.49057,0.55665,0.53717,0.52888,0.21426,2.10221,1.35742,1.65791,0.0018218,0.0018218,0.0018218
11,392.782,2.09191,1.41654,1.52213,0.58409,0.5318,0.54181,0.22258,2.05689,1.36634,1.62073,0.001802,0.001802,0.001802
12,428.745,2.06548,1.38559,1.49172,0.55285,0.47632,0.49936,0.20013,2.05392,1.43601,1.63133,0.0017822,0.0017822,0.0017822
13,464.447,2.06036,1.37395,1.48823,0.57462,0.55066,0.55038,0.22419,2.10331,1.32329,1.65578,0.0017624,0.0017624,0.0017624
14,500.058,2.04875,1.34891,1.47723,0.53481,0.5109,0.50325,0.19396,2.13928,1.4195,1.66464,0.0017426,0.0017426,0.0017426
15,535.782,2.05398,1.35491,1.47682,0.55875,0.45951,0.48358,0.2004,2.08201,1.37212,1.64862,0.0017228,0.0017228,0.0017228
16,571.162,2.03474,1.36802,1.49996,0.58046,0.54144,0.54886,0.22266,2.10673,1.33784,1.67118,0.001703,0.001703,0.001703
17,606.462,2.04768,1.34174,1.47344,0.60048,0.53611,0.5597,0.22836,2.07684,1.32952,1.64002,0.0016832,0.0016832,0.0016832
18,642.808,2.02586,1.3073,1.46328,0.53302,0.53786,0.5213,0.20631,2.08401,1.41942,1.64123,0.0016634,0.0016634,0.0016634
19,679.818,2.03796,1.30379,1.45912,0.57561,0.534,0.54173,0.21538,2.05795,1.3482,1.62058,0.0016436,0.0016436,0.0016436
20,715.543,2.01567,1.30118,1.46438,0.56261,0.57569,0.5491,0.22389,2.07677,1.369,1.64637,0.0016238,0.0016238,0.0016238
21,751.067,2.00833,1.28967,1.45003,0.57762,0.55149,0.5553,0.23034,2.0813,1.27117,1.64978,0.001604,0.001604,0.001604
22,786.733,1.9994,1.27729,1.44566,0.55032,0.52582,0.52835,0.21776,2.06413,1.33479,1.6415,0.0015842,0.0015842,0.0015842
23,822.46,1.98963,1.27423,1.44473,0.57436,0.56714,0.55315,0.22868,2.07972,1.29626,1.65454,0.0015644,0.0015644,0.0015644
24,857.925,2.0207,1.28043,1.44662,0.57082,0.5552,0.56118,0.23339,2.05954,1.2776,1.62466,0.0015446,0.0015446,0.0015446
25,893.591,1.9806,1.2456,1.44555,0.56219,0.55424,0.55319,0.22813,2.05393,1.27454,1.62839,0.0015248,0.0015248,0.0015248
26,929.214,1.98747,1.24445,1.44852,0.63249,0.53868,0.57435,0.2365,2.08651,1.24554,1.65454,0.001505,0.001505,0.001505
27,964.839,1.9673,1.239,1.43981,0.57309,0.54873,0.55349,0.22263,2.11639,1.26726,1.66513,0.0014852,0.0014852,0.0014852
28,1000.64,1.96628,1.22332,1.42448,0.52756,0.53166,0.5247,0.21179,2.11729,1.3163,1.66312,0.0014654,0.0014654,0.0014654
29,1036.3,1.97242,1.2248,1.43781,0.57608,0.53373,0.54762,0.22174,2.11045,1.31209,1.66927,0.0014456,0.0014456,0.0014456
30,1071.94,1.97198,1.22516,1.43429,0.55518,0.5524,0.55096,0.22904,2.06869,1.33176,1.64227,0.0014258,0.0014258,0.0014258
31,1107.35,1.96182,1.23405,1.43579,0.61837,0.55107,0.56947,0.23593,2.08861,1.24226,1.65418,0.001406,0.001406,0.001406
